23.23	1
23.86	2
24.91	3
24.73	4
24.95	5
22.09	5
21.1	5
23.33	8
22.88	8
20.99	8
21.91	8
19.87	12
23.31	12
24.22	12
22.95	12
22.52	12
20.56	12
19.58	12
20.16	19
16.45	19
19.02	19
22.15	19
20.21	19
21.2	19
20.68	19
19.41	19
18.96	19
17.56	19
21.33	29
20.25	29
20.67	29
20.35	29
19.3	29
20	29
18.33	29
20.26	29
17.67	29
17.46	29
18.47	29
20.59	40
19.67	40
17.7	40
16.7	40
17.19	40
17.63	40
16.05	40
17.85	47
19.29	48
17.78	49
17.87	50
17.67	51
17.73	52
18.07	53
17.35	54
16.82	55
18.88	56
18.86	57
18.64	58
19	59
17.16	60
18.31	61
18.1	62
19.33	63
17.56	64
17.87	65
16.5	66
18.36	67
15.58	68
16.46	69
17.53	70
19.12	71
16.58	72
16.57	73
16.97	74
17.08	75
16.3	76
15.89	77
16.06	78
17.97	79
16.25	80
13.78	81
14.77	82
17.11	83
16.27	84
17.12	85
19.32	86
16.88	87
16.5	88
15.31	89
19.01	90
15.58	91
16.85	92
16.71	93
15.48	94
13.51	95
16.52	96
13.33	97
16.36	98
14.43	99
13.73	100
14.03	101
13.94	102
13.94	103
13.13	104
13.81	105
15.42	106
13.05	107
11.36	108
11.07	109
14.55	110
13.79	111
14.52	112
13.93	113
13.39	114
14.21	115
12.32	116
12.24	117
13.18	118
11.06	119
10.98	120
11.82	121
10.68	122
8.28	123
9.27	124
11.7	125
11.59	126
10.24	127
8	128
